"","face","sex_group"
"1","045_m_m_n_a","male"
"2","180_m_f_n_a","female"
"3","084_m_f_n_a","female"
"4","113_m_f_n_a","female"
"5","138_m_f_n_a","female"
"6","179_m_m_n_a","male"
"7","104_m_m_n_a","male"
"8","159_m_m_n_a","male"
"9","029_m_f_n_a","female"
"10","080_m_f_n_a","female"
"11","126_m_m_n_a","male"
"12","052_m_f_n_a","female"
"13","111_m_f_n_a","female"
"14","117_m_f_n_a","female"
"15","014_m_m_n_a","male"
"16","070_m_m_n_a","male"
"17","064_m_f_n_a","female"
"18","006_m_f_n_a","female"
"19","073_m_f_n_a","female"
"20","050_m_f_n_a","female"
"21","068_m_m_n_a","male"
"22","165_m_m_n_a","male"
"23","007_m_m_n_a","male"
"24","087_m_m_n_a","male"
"25","155_m_m_n_a","male"
"26","136_m_m_n_a","male"
"27","128_m_f_n_a","female"
"28","142_m_m_n_a","male"
"29","019_m_f_n_a","female"
"30","139_m_f_n_a","female"
"31","103_m_f_n_a","female"
"32","122_m_f_n_a","female"
"33","082_m_m_n_a","male"
"34","149_m_m_n_a","male"
"35","026_m_m_n_a","male"
"36","108_m_m_n_a","male"
"37","051_m_m_n_a","male"
"38","097_m_f_n_a","female"
"39","061_m_f_n_a","female"
"40","169_m_m_n_a","male"
"41","038_m_m_n_a","male"
"42","043_m_f_n_a","female"
"43","035_m_f_n_a","female"
"44","156_m_f_n_a","female"
"45","178_m_m_n_a","male"
"46","157_m_f_n_a","female"
"47","058_m_m_n_a","male"
"48","032_m_m_n_a","male"
