"","X","Theme","Category","Source","Valence_mean","Valence_SD","Valence_N","Arousal_mean","Arousal_SD","Arousal_N","theme","theme_long","valence","n"
"1","I637","Plane crash 2","Scene","Pixabay",2.81372549019608,1.19180694958806,102,3.87128712871287,1.68323121606411,101,"Plan","Plane cras","negative",1
"2","I850","Tornado 3","Scene","Pixabay",2.66336633663366,1.22700633839253,101,4.67961165048544,1.84822963640413,103,"Torn","Tornado 3","negative",2
"3","I235","Destruction 2","Scene","Pixabay",2.18627450980392,1.02184449958103,102,3.05940594059406,1.77663604701817,101,"Dest","Destructio","negative",3
"4","I323","Fire 6","Scene","Pixabay",2.22772277227723,1.27185838927777,101,4.52427184466019,1.99432852818114,103,"Fire","Fire 6","negative",4
"5","I149","Cemetery 4","Scene","Pixabay",2.79411764705882,1.18854462375453,102,4.33663366336634,1.90933091800647,101,"Ceme","Cemetery 4","negative",5
"6","I370","Funeral 1","Scene","Pixabay",2.92156862745098,1.18310109801104,102,4.23762376237624,1.89287355547847,101,"Fune","Funeral 1","negative",6
"7","I868","War 5","Scene","Pixabay",2.45544554455446,1.45275429770658,101,4.38834951456311,2.16130411661225,103,"War ","War 5","negative",7
"8","I343","Flood 3","Scene","Pixabay",2.29411764705882,1.1568841328816,102,4.28712871287129,1.74548923607891,101,"Floo","Flood 3","negative",8
"9","I421","Hallway 1","Scene","Wikipedia",2.61111111111111,1.12601632873847,108,3.375,1.94680470096241,104,"Hall","Hallway 1","negative",9
"10","I383","Garbage dump 5","Scene","Pixabay",2.13725490196078,1.00532459352294,102,3.32673267326733,1.6976979171283,101,"Garb","Garbage du","negative",10
"11","I305","Explosion 4","Scene","Pixabay",2.5,1.33605640935253,108,4.30769230769231,2.03406390806095,104,"Expl","Explosion ","negative",11
"12","I791","Soldiers 10","Scene","Pixabay",2.6039603960396,1.37897939013454,101,4.1747572815534,1.84936228789351,103,"Sold","Soldiers 1","negative",12
"13","I96","Bridge 1","Scene","Pixabay",5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103,"Brid","Bridge 1","positive",1
"14","I459","Lake 5","Scene","Pixabay",5.95049504950495,1.06184968450118,101,4.30097087378641,1.87781136399565,103,"Lake","Lake 5","positive",2
"15","I241","Dock 1","Scene","Pixabay",5.56435643564356,1.02387344514992,101,3.64077669902913,1.63211860951653,103,"Dock","Dock 1","positive",3
"16","I430","Happy pose 3","Scene","Wikipedia",5.74257425742574,0.986442754005874,101,3.93203883495146,1.67016575391064,103,"Happ","Happy pose","positive",4
"17","I826","Thunderstorm 2","Scene","Pixabay",5.05555555555556,1.42627764224662,108,4.54807692307692,1.71163810536402,104,"Thun","Thundersto","positive",5
"18","I706","Sailing 3","Scene","Wikipedia",5.45098039215686,1.04953974807057,102,3.62376237623762,1.63616310402426,101,"Sail","Sailing 3","positive",6
"19","I604","Parachuting 1","Scene","Pixabay",5.12745098039216,1.03092353700817,102,4.54455445544554,1.51343815516358,101,"Para","Parachutin","positive",7
"20","I504","Moon 1","Scene","Pixabay",5.27450980392157,1.17866229550013,102,3.61386138613861,1.8109130129838,101,"Moon","Moon 1","positive",8
"21","I81","Birthday 3","Scene","Pixabay",5.56862745098039,1.04842931953035,102,3.42574257425743,1.51885835187792,101,"Birt","Birthday 3","positive",9
"22","I814","Sunset 5","Scene","Pixabay",5.87962962962963,1.12505528497673,108,3.53846153846154,1.88464967733352,104,"Suns","Sunset 5","positive",10
"23","I617","Performance 1","Scene","Pixabay",5.57425742574257,1.08946348863526,101,3.86407766990291,1.72096953801367,103,"Perf","Performanc","positive",11
"24","I337","Fireworks 4","Scene","Wikipedia",5.9537037037037,0.910830567450926,108,4.31730769230769,1.72511107326047,104,"Fire","Fireworks ","positive",12
